,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
273,69,201.4243496999843,79.0,7073.0,False,100,0.6,1000
274,70,204.3454628000036,79.0,7174.0,False,100,0.6,1000
275,71,207.26248959999066,79.0,7275.0,False,100,0.6,1000
276,72,210.18950290000066,79.0,7376.0,False,100,0.6,1000
277,73,213.11747920000926,79.0,7477.0,False,100,0.6,1000
278,74,216.03921319998335,79.0,7578.0,False,100,0.6,1000
279,75,218.95233529992402,79.0,7679.0,False,100,0.6,1000
280,76,221.86743500002194,79.0,7780.0,False,100,0.6,1000
281,77,224.77787949994672,79.0,7881.0,False,100,0.6,1000
282,78,227.6865709000267,79.0,7982.0,False,100,0.6,1000
283,79,230.6011006999761,79.0,8083.0,False,100,0.6,1000
284,80,233.52832749998197,79.0,8184.0,False,100,0.6,1000
285,81,236.45323199999984,79.0,8285.0,False,100,0.6,1000
286,82,239.3745867999969,79.0,8386.0,False,100,0.6,1000
287,83,242.29322320001666,79.0,8487.0,False,100,0.6,1000
288,84,245.21189039992169,79.0,8588.0,False,100,0.6,1000
289,85,248.1323121000314,79.0,8689.0,False,100,0.6,1000
290,86,251.06073639995884,79.0,8790.0,False,100,0.6,1000
291,87,253.98774869996123,79.0,8891.0,False,100,0.6,1000
292,88,256.9133571999846,79.0,8992.0,False,100,0.6,1000
293,89,259.8400860999245,79.0,9093.0,False,100,0.6,1000
294,90,262.76986609993037,79.0,9194.0,False,100,0.6,1000
295,91,265.69717619998846,79.0,9295.0,False,100,0.6,1000
296,92,268.61970089992974,79.0,9396.0,False,100,0.6,1000
297,93,271.53576769994106,79.0,9497.0,False,100,0.6,1000
298,94,274.4482629999984,79.0,9598.0,False,100,0.6,1000
299,95,277.36922609992325,79.0,9699.0,False,100,0.6,1000
300,96,280.2843913999386,79.0,9800.0,False,100,0.6,1000
301,97,283.2040160000324,79.0,9901.0,False,100,0.6,1000
302,98,286.11561640002765,79.0,10002.0,False,100,0.6,1000
303,99,289.0302896000212,79.0,10103.0,False,100,0.6,1000
304,100,291.9425098999636,79.0,10204.0,False,100,0.6,1000
305,101,294.87095190002583,79.0,10305.0,False,100,0.6,1000
306,102,0.12221160007175058,79.0,10406.0,False,100,0.6,1000
307,103,3.162593899993226,79.0,10507.0,False,100,0.6,1000
308,104,6.33298459998332,79.0,10608.0,False,100,0.6,1000
